years,tradeDate,close
2010,12-Nov-10,308.03
2010,11-Nov-10,316.66
2010,10-Nov-10,318.03
2010,9-Nov-10,316.08
2010,8-Nov-10,318.62
2010,5-Nov-10,317.13
2010,4-Nov-10,318.27
2010,3-Nov-10,312.8
2010,2-Nov-10,309.36
2010,1-Nov-10,304.18
2010,29-Oct-10,300.98
2010,28-Oct-10,305.24
2010,27-Oct-10,307.83
2010,26-Oct-10,308.05
2010,25-Oct-10,308.84
2010,22-Oct-10,307.47
2010,21-Oct-10,309.52
2010,20-Oct-10,310.53
2010,19-Oct-10,309.49
2010,18-Oct-10,318
2010,15-Oct-10,314.74
2010,14-Oct-10,302.31
2010,13-Oct-10,300.14
2010,12-Oct-10,298.54
2010,11-Oct-10,295.36
2010,8-Oct-10,294.07
2010,7-Oct-10,289.22
2010,6-Oct-10,289.19
2010,5-Oct-10,288.94
2010,4-Oct-10,278.64
2010,1-Oct-10,282.52
2010,30-Sep-10,283.75
2010,29-Sep-10,287.37
2010,28-Sep-10,286.86
2010,27-Sep-10,291.16
2010,24-Sep-10,292.32
2010,23-Sep-10,288.92
2010,22-Sep-10,287.75
2010,21-Sep-10,283.77
2010,20-Sep-10,283.23
2010,17-Sep-10,275.37
2010,16-Sep-10,276.57
2010,15-Sep-10,270.22
2010,14-Sep-10,268.06
2010,13-Sep-10,267.04
2010,10-Sep-10,263.41
2010,9-Sep-10,263.07
2010,8-Sep-10,262.92
2010,7-Sep-10,257.81
2010,6-Sep-10,258.77
2010,3-Sep-10,258.77
2010,2-Sep-10,252.17
2010,1-Sep-10,250.33
2010,31-Aug-10,243.1
2010,30-Aug-10,242.5
2010,27-Aug-10,241.62
2010,26-Aug-10,240.28
2010,25-Aug-10,242.89
2010,24-Aug-10,239.93
2010,23-Aug-10,245.8
2010,20-Aug-10,249.64
2010,19-Aug-10,249.88
2010,18-Aug-10,253.07
2010,17-Aug-10,251.97
2010,16-Aug-10,247.64
2010,13-Aug-10,249.1
2010,12-Aug-10,251.79
2010,11-Aug-10,250.19
2010,10-Aug-10,259.41
2010,9-Aug-10,261.75
2010,6-Aug-10,260.09
2010,5-Aug-10,261.7
2010,4-Aug-10,262.98
2010,3-Aug-10,261.93
2010,2-Aug-10,261.85
2010,30-Jul-10,257.25
2010,29-Jul-10,258.11
2010,28-Jul-10,260.96
2010,27-Jul-10,264.08
2010,26-Jul-10,259.28
2010,23-Jul-10,259.94
2010,22-Jul-10,259.02
2010,21-Jul-10,254.24
2010,20-Jul-10,251.89
2010,19-Jul-10,245.58
2010,16-Jul-10,249.9
2010,15-Jul-10,251.45
2010,14-Jul-10,252.73
2010,13-Jul-10,251.8
2010,12-Jul-10,257.28
2010,9-Jul-10,259.62
2010,8-Jul-10,258.09
2010,7-Jul-10,258.66
2010,6-Jul-10,248.63
2010,5-Jul-10,246.94
2010,2-Jul-10,246.94
2010,1-Jul-10,248.48
2010,30-Jun-10,251.53
2010,29-Jun-10,256.17
2010,28-Jun-10,268.3
2010,25-Jun-10,266.7
2010,24-Jun-10,269
2010,23-Jun-10,270.97
2010,22-Jun-10,273.85
2010,21-Jun-10,270.17
2010,18-Jun-10,274.07
2010,17-Jun-10,271.87
2010,16-Jun-10,267.25
2010,15-Jun-10,259.69
2010,14-Jun-10,254.28
2010,11-Jun-10,253.51
2010,10-Jun-10,250.51
2010,9-Jun-10,243.2
2010,8-Jun-10,249.33
2010,7-Jun-10,250.94
2010,4-Jun-10,255.96
2010,3-Jun-10,263.12
2010,2-Jun-10,263.95
2010,1-Jun-10,260.83
2010,31-May-10,256.88
2010,28-May-10,256.88
2010,27-May-10,253.35
2010,26-May-10,244.11
2010,25-May-10,245.22
2010,24-May-10,246.76
2010,21-May-10,242.32
2010,20-May-10,237.76
2010,19-May-10,248.34
2010,18-May-10,252.36
2010,17-May-10,254.22
2010,14-May-10,253.82
2010,13-May-10,258.36
2010,12-May-10,262.09
2010,11-May-10,256.52
2010,10-May-10,253.99
2010,7-May-10,235.86
2010,6-May-10,246.25
2010,5-May-10,255.98
2010,4-May-10,258.68
2010,3-May-10,266.35
2010,30-Apr-10,261.09
2010,29-Apr-10,268.64
2010,28-Apr-10,261.6
2010,27-Apr-10,262.04
2010,26-Apr-10,269.5
2010,23-Apr-10,270.83
2010,22-Apr-10,266.47
2010,21-Apr-10,259.22
2010,20-Apr-10,244.59
2010,19-Apr-10,247.07
2010,16-Apr-10,247.4
2010,15-Apr-10,248.92
2010,14-Apr-10,245.69
2010,13-Apr-10,242.43
2010,12-Apr-10,242.29
2010,9-Apr-10,241.79
2010,8-Apr-10,239.95
2010,7-Apr-10,240.6
2010,6-Apr-10,239.54
2010,5-Apr-10,238.49
2010,2-Apr-10,235.97
2010,1-Apr-10,235.97
2010,31-Mar-10,235
2010,30-Mar-10,235.84
2010,29-Mar-10,232.39
2010,26-Mar-10,230.9
2010,25-Mar-10,226.65
2010,24-Mar-10,229.37
2010,23-Mar-10,228.36
2010,22-Mar-10,224.75
2010,19-Mar-10,222.25
2010,18-Mar-10,224.65
2010,17-Mar-10,224.12
2010,16-Mar-10,224.45
2010,15-Mar-10,223.84
2010,12-Mar-10,226.6
2010,11-Mar-10,225.5
2010,10-Mar-10,224.84
2010,9-Mar-10,223.02
2010,8-Mar-10,219.08
2010,5-Mar-10,218.95
2010,4-Mar-10,210.71
2010,3-Mar-10,209.33
2010,2-Mar-10,208.85
2010,1-Mar-10,208.99
2010,26-Feb-10,204.62
2010,25-Feb-10,202
2010,24-Feb-10,200.66
2010,23-Feb-10,197.06
2010,22-Feb-10,200.42
2010,19-Feb-10,201.67
2010,18-Feb-10,202.93
2010,17-Feb-10,202.55
2010,16-Feb-10,203.4
2010,15-Feb-10,200.38
2010,12-Feb-10,200.38
2010,11-Feb-10,198.67
2010,10-Feb-10,195.12
2010,9-Feb-10,196.19
2010,8-Feb-10,194.12
2010,5-Feb-10,195.46
2010,4-Feb-10,192.05
2010,3-Feb-10,199.23
2010,2-Feb-10,195.86
2010,1-Feb-10,194.73
2010,29-Jan-10,192.06
2010,28-Jan-10,199.29
2010,27-Jan-10,207.88
2010,26-Jan-10,205.94
2010,25-Jan-10,203.08
2010,22-Jan-10,197.75
2010,21-Jan-10,208.07
2010,20-Jan-10,211.72
2010,19-Jan-10,215.04
2010,18-Jan-10,205.93
2010,15-Jan-10,205.93
2010,14-Jan-10,209.43
2010,13-Jan-10,210.65
2010,12-Jan-10,207.72
2010,11-Jan-10,210.11
2010,8-Jan-10,211.98
2010,7-Jan-10,210.58
2010,6-Jan-10,210.97
2010,5-Jan-10,214.38
2010,4-Jan-10,214.01
2010,1-Jan-10,210.73
2009,31-Dec-09,210.73
2009,30-Dec-09,211.64
2009,29-Dec-09,209.1
2009,28-Dec-09,211.61
2009,25-Dec-09,209.04
2009,24-Dec-09,209.04
2009,23-Dec-09,202.1
2009,22-Dec-09,200.36
2009,21-Dec-09,198.23
2009,18-Dec-09,195.43
2009,17-Dec-09,191.86
2009,16-Dec-09,195.03
2009,15-Dec-09,194.17
2009,14-Dec-09,196.98
2009,11-Dec-09,194.67
2009,10-Dec-09,196.43
2009,9-Dec-09,197.8
2009,8-Dec-09,189.87
2009,7-Dec-09,188.95
2009,4-Dec-09,193.32
2009,3-Dec-09,196.48
2009,2-Dec-09,196.23
2009,1-Dec-09,196.97
2009,30-Nov-09,199.91
2009,27-Nov-09,200.59
2009,26-Nov-09,204.19
2009,25-Nov-09,204.19
2009,24-Nov-09,204.44
2009,23-Nov-09,205.88
2009,20-Nov-09,199.92
2009,19-Nov-09,200.51
2009,18-Nov-09,205.96
2009,17-Nov-09,207
2009,16-Nov-09,206.63
2009,13-Nov-09,204.45
2009,12-Nov-09,201.99
2009,11-Nov-09,203.25
2009,10-Nov-09,202.98
2009,9-Nov-09,201.46
2009,6-Nov-09,194.34
2009,5-Nov-09,194.03
2009,4-Nov-09,190.81
2009,3-Nov-09,188.75
2009,2-Nov-09,189.31
2009,30-Oct-09,188.5
2009,29-Oct-09,196.35
2009,28-Oct-09,192.4
2009,27-Oct-09,197.37
2009,26-Oct-09,202.48
2009,23-Oct-09,203.94
2009,22-Oct-09,205.2
2009,21-Oct-09,204.92
2009,20-Oct-09,198.76
2009,19-Oct-09,189.86
2009,16-Oct-09,188.05
2009,15-Oct-09,190.56
2009,14-Oct-09,191.29
2009,13-Oct-09,190.02
2009,12-Oct-09,190.81
2009,9-Oct-09,190.47
2009,8-Oct-09,189.27
2009,7-Oct-09,190.25
2009,6-Oct-09,190.01
2009,5-Oct-09,186.02
2009,2-Oct-09,184.9
2009,1-Oct-09,180.86
2009,30-Sep-09,185.35
2009,29-Sep-09,185.38
2009,28-Sep-09,186.15
2009,25-Sep-09,182.37
2009,24-Sep-09,183.82
2009,23-Sep-09,185.5
2009,22-Sep-09,184.48
2009,21-Sep-09,184.02
2009,18-Sep-09,185.02
2009,17-Sep-09,184.55
2009,16-Sep-09,181.87
2009,15-Sep-09,175.16
2009,14-Sep-09,173.72
2009,11-Sep-09,172.16
2009,10-Sep-09,172.56
2009,9-Sep-09,171.14
2009,8-Sep-09,172.93
2009,4-Sep-09,170.31
2009,3-Sep-09,166.55
2009,2-Sep-09,165.18
2009,1-Sep-09,165.3
2009,31-Aug-09,168.21
2009,28-Aug-09,170.05
2009,27-Aug-09,169.45
2009,26-Aug-09,167.41
2009,25-Aug-09,169.4
2009,24-Aug-09,169.06
2009,21-Aug-09,169.22
2009,20-Aug-09,166.33
2009,19-Aug-09,164.6
2009,18-Aug-09,164
2009,17-Aug-09,159.59
2009,14-Aug-09,166.78
2009,13-Aug-09,168.42
2009,12-Aug-09,165.31
2009,10-Aug-09,164.72
2009,7-Aug-09,165.51
2009,6-Aug-09,163.91
2009,5-Aug-09,165.11
2009,4-Aug-09,165.55
2009,3-Aug-09,166.43
2009,31-Jul-09,163.39
2009,30-Jul-09,162.79
2009,29-Jul-09,160.03
2009,28-Jul-09,160
2009,27-Jul-09,160.1
2009,24-Jul-09,159.99
2009,23-Jul-09,157.82
2009,22-Jul-09,156.74
2009,21-Jul-09,151.51
2009,20-Jul-09,152.91
2009,17-Jul-09,151.75
2009,16-Jul-09,147.52
2009,15-Jul-09,146.88
2009,14-Jul-09,142.27
2009,13-Jul-09,142.34
2009,10-Jul-09,138.52
2009,9-Jul-09,136.36
2009,8-Jul-09,137.22
2009,7-Jul-09,135.4
2009,6-Jul-09,138.61
2009,3-Jul-09,140.02
2009,2-Jul-09,140.02
2009,1-Jul-09,142.83
2009,30-Jun-09,142.43
2009,29-Jun-09,141.97
2009,26-Jun-09,142.44
2009,25-Jun-09,139.86
2009,24-Jun-09,136.22
2009,23-Jun-09,134.01
2009,22-Jun-09,137.37
2009,19-Jun-09,139.48
2009,18-Jun-09,135.88
2009,17-Jun-09,135.58
2009,16-Jun-09,136.35
2009,15-Jun-09,136.09
2009,12-Jun-09,136.97
2009,11-Jun-09,139.95
2009,10-Jun-09,140.25
2009,9-Jun-09,142.72
2009,8-Jun-09,143.85
2009,5-Jun-09,144.67
2009,4-Jun-09,143.74
2009,3-Jun-09,140.95
2009,2-Jun-09,139.49
2009,1-Jun-09,139.35
2009,29-May-09,135.81
2009,28-May-09,135.07
2009,27-May-09,133.05
2009,26-May-09,130.78
2009,22-May-09,122.5
2009,21-May-09,124.18
2009,20-May-09,125.87
2009,19-May-09,127.45
2009,18-May-09,126.65
2009,15-May-09,122.42
2009,14-May-09,122.95
2009,13-May-09,119.49
2009,12-May-09,124.42
2009,11-May-09,129.57
2009,8-May-09,129.19
2009,7-May-09,129.06
2009,6-May-09,132.5
2009,5-May-09,132.71
2009,4-May-09,132.07
2009,1-May-09,127.24
2009,30-Apr-09,125.83
2009,29-Apr-09,125.14
2009,28-Apr-09,123.9
2009,27-Apr-09,124.73
2009,24-Apr-09,123.9
2009,23-Apr-09,125.4
2009,22-Apr-09,121.51
